"key","ratings_avg","ratings_std","hygiene_avg","hygiene_std","r_value","std_err","len(val)"
"Home & Garden",3.9895454545454534,0.7719837331819372,4.636363636363637,0.6568142497523072,0.03911786610577942,0.0818069129596668,110
"Community Service/Non-Profit",4.263020833333335,0.7171356795609221,4.6875,0.564810071321915,-0.03753115299658599,0.08117664318698402,96
"Italian",3.8379830229317125,0.6844624715188246,4.288103382744204,1.091694507154675,-0.05053943049960879,0.031067108670072313,2631
"Used, Vintage & Consignment",4.6125,0.37811208655635437,4.0,1.0,0.3085504822900668,0.7955269923412271,12
"Public Transportation",3.472727272727272,0.7309283127277992,4.181818181818182,1.3360853142453697,-0.08801141306015861,0.6069453355875529,11
"Bed & Breakfast",4.166666666666663,0.886977672030702,4.523297491039426,0.8178093088373019,0.2082297449646395,0.03824514565192894,558
"Antiques",3.9961538461538457,0.8782547244090098,4.230769230769231,1.1200169060431568,-0.19459985286029202,0.3771593005583606,13
"Kosher",3.457142857142857,1.0192534282603165,3.9047619047619047,1.191428190780648,-0.038652866186285856,0.26796879317949346,21
"Playgrounds",4.0613636363636365,0.6320838225090767,4.363636363636363,0.77138921583987,0.23856943112227869,0.26500814535792877,22
"Cuban",3.9035714285714285,0.49622297901040335,4.0,1.1952286093343936,-0.018064892093237812,0.6952045564481487,14
"Caterers",4.217194092827007,0.6823431667485391,4.158227848101266,1.1336183354038183,0.02362066169491683,0.13297822381076868,158
"Tours",4.1230769230769235,0.5191025482708611,4.846153846153846,0.36080121229411,0.26538198152718606,0.20205057740919227,13
"Bagels",3.8711805555555547,0.5610396638712172,4.166666666666667,1.2638125740085917,-0.1974312488070139,0.32559416046742296,48
"Mediterranean",4.089790764790766,0.599347111103099,4.1103896103896105,1.1465836039111394,0.014028928952855516,0.08918784158246325,462
"Cultural Center",4.33030303030303,0.6478331474697124,4.757575757575758,0.49422746758485114,-0.1379517304324229,0.135709602479822,33
"Korean",3.9365296803652963,0.4566909763739809,3.328767123287671,1.4435002599802182,0.18992488360048632,0.36828809524030987,73
"Health Markets",4.068739635157545,0.7880077272479057,4.487562189054726,0.8470578447787248,-0.009961488572415564,0.07619640922923894,201
"Drugstores",3.754059829059828,0.7809665367115409,4.85042735042735,0.5301384969219091,-0.044982152269805425,0.044521840048351725,234
"Furniture Stores",3.8923913043478255,0.8995752253210078,4.456521739130435,0.925637776349729,-0.23079508540442117,0.1509354131068018,46
"Patisserie/Cake Shop",4.033720930232557,0.7435162319925127,4.24031007751938,1.1016210310719354,-0.09412557403723806,0.09219117831257906,258
"Local Flavor",4.123170731707317,0.6099377778117236,4.304878048780488,1.0322722318931459,0.06722447401297982,0.1887905178306656,82
"Music Venues",3.9599625468164796,0.599512389125206,4.285393258426966,0.9537095595617646,0.042845862645324716,0.07551219803763111,445
"Burgers",3.5849288735101936,0.8090774119684595,4.433679354094579,1.0171179418173815,-0.13420167751464687,0.04235714674947899,867
"Check Cashing/Pay-day Loans",3.641304347826087,0.8419248357849596,4.217391304347826,1.1404240911829566,0.06989288654925213,0.2948628424596775,23
"Pet Stores",4.021875,1.0517795559788181,4.5,0.7071067811865476,-0.38867090118806735,0.16555163002479706,16
"Greek",4.059037037037038,0.62419117925351,4.155555555555556,1.106657742043443,-0.0011771985347572157,0.11872521563508748,225
"Juice Bars & Smoothies",3.9699763593380615,0.7335702923044252,4.24822695035461,1.0116767092784005,0.031544250946157974,0.11691667037869442,141
"Diners",3.8478991596638656,0.657995266961573,4.361344537815126,0.9935175810294966,0.018514780531903845,0.1395678556332191,119
"Delicatessen",4.2586908690869105,0.7709342235054808,4.178217821782178,1.0055559151177316,0.10840789133431705,0.07473749964698273,303
"Day Spas",3.981034482758621,0.6926229248677225,4.689655172413793,0.5932638115201813,-0.005932163954129332,0.1648395695917729,29
"Fashion",3.860869565217391,0.7799744312614035,4.869565217391305,0.4476360930863913,-0.1765047776136366,0.08516198620386557,46
"Chinese",3.8236251105216605,0.7773306343897665,3.6217506631299736,1.2756250296798484,0.10106007384413143,0.037623823726856576,1885
"Men's Clothing",3.8766666666666665,0.7323174782079757,4.7,0.6403124237432849,-0.10023203087718605,0.1644072327970651,30
"Ethiopian",4.3293103448275865,0.5328060463212039,3.793103448275862,1.2697898372084118,-0.10571549420918534,0.4560793100618285,29
"Bowling",3.790659340659341,0.5495208746203563,4.417582417582418,0.9841148649335434,-0.06898829765507677,0.18937848560389228,91
"American (New)",3.7295787545787564,0.7498287998908162,4.285714285714286,1.0616772370781924,0.03758294974170807,0.10545986323894706,182
"Persian/Iranian",4.077702702702703,0.5844216169248291,3.189189189189189,1.3322981128504041,0.08293962568206205,0.26773797832901214,74
"Taxis",3.842307692307692,1.3370239848614067,3.8461538461538463,1.3499945211372495,0.024914701229106308,0.3043418182255909,13
"Pool Halls",3.6366071428571436,0.9532599645159654,4.375,0.8976656233969147,0.25524477955311764,0.1239017242987794,56
"Food",3.983383084577113,0.881844232989113,4.173134328358209,1.084432871872521,0.08416691960395117,0.06714982991108394,335
"Sporting Goods",3.7083333333333335,0.9886508764753894,4.5,0.6454972243679028,0.09793607223651281,0.20547481994336642,12
"Castles",4.290909090909091,0.5397045411477813,4.7272727272727275,0.44536177141512334,0.00859578670403916,0.2750550123957397,11
"Meat Shops",4.362942061700528,0.7395984155655427,4.4401805869074495,0.8852500705894704,0.052036596817050494,0.056919609613723374,443
"Public Services & Government",3.7750000000000004,1.3588444846020216,4.583333333333333,0.6400954789890507,-0.08383247560634907,0.14843746549855577,12
"Cheese Shops",4.482142857142857,0.44817373180224546,4.542857142857143,0.7306692487168241,0.15611492405853558,0.19528196307716747,70
"Department Stores",3.8282167042889395,0.6804630796014216,4.851015801354402,0.5378811429152506,-0.004549709943400771,0.03764072354185954,443
"Casinos",3.8500000000000005,0.6519202405202649,4.523809523809524,0.9571310115353231,0.12210538999873968,0.3343013557511171,21
"Arabian",4.317777777777779,0.47408651604043545,3.7333333333333334,1.2892719737209144,-0.21220237107384685,0.7370724215414006,15
"Pubs",3.7792306361096792,0.786901590426837,4.2869539420010385,0.9920239354079659,-0.013937383883346217,0.010856716276405776,13483
"Pakistani",3.9612667171334865,0.6865305473049778,3.6790310370931114,1.280467942866263,0.039692704663734424,0.05131496756881736,1321
"Street Vendors",4.172685185185185,0.7043203621198031,3.7777777777777777,1.416394309331329,0.2570481512559074,0.33329650624893253,36
"Chicken Shop",3.776119402985074,0.6075275715995996,4.268656716417911,0.970952595062125,0.2638999279608277,0.1912053900143494,67
"Vacation Rentals",4.075641025641025,0.8433656471111172,4.743589743589744,0.6686361441233486,0.36178187506662773,0.12150983245176636,39
"Tapas Bars",4.098684210526314,0.574769615414145,3.9802631578947367,1.14403714248249,0.09650995501124227,0.16175908020933963,152
"Thai",3.9989247311828002,0.6346750852748636,3.9178885630498534,1.2177823213954184,0.08882901436278472,0.0732898009703151,682
"American (Traditional)",3.4063203463203457,0.7778154342510744,4.590909090909091,0.8828351345820012,-0.09940333478669158,0.040753614612718404,770
"Lebanese",3.9736111111111114,0.6305589206958664,3.8666666666666667,1.2840906856172147,0.24677792883661878,0.25912665941207863,60
"Cards & Stationery",3.9125,0.872406871820712,4.4375,0.998044963916957,-0.17137766141679986,0.3012269325425875,16
"Barbeque",3.831453634085212,0.6098558868596908,4.112781954887218,1.1215867877169114,0.00598928387739588,0.16068014942605507,133
"Elementary Schools",4.40764705882353,0.8324487577359073,4.647058823529412,0.7777173591076898,0.1404585613446767,0.10153093868701751,85
"Sports Clubs",3.9756240822320117,0.8369177184159199,4.436123348017621,0.8900422910960195,-0.011848392176423915,0.07089345386406208,227
"Go Karts",4.181818181818182,0.3785575057028548,4.181818181818182,1.02851895445316,-0.30671733050698885,0.8619958620333319,11
"Retirement Homes",4.260714285714285,1.2669111158681197,4.785714285714286,0.41032590332414504,0.10746894039257436,0.0929543270748522,14
"Afghan",4.030555555555556,0.45647772517423774,3.4444444444444446,1.2120791238484128,0.07084482787202875,0.6621536630980155,18
"Children's Clothing",4.0115384615384615,0.6174245036856565,4.884615384615385,0.423076923076923,0.07871634234028156,0.13943768629654257,26
"Coffee & Tea Supplies",4.418181818181818,0.3880444721893282,4.7272727272727275,0.616575453011388,-0.4732247658310454,0.46658487317139685,11
"Irish Pub",3.934615384615385,0.4691992423204484,4.230769230769231,1.186711432349347,-0.0005313502281253941,0.7625905517526671,13
"Middle Eastern",4.04790528233151,0.5094464496074482,3.5027322404371586,1.3665573071261987,0.10132764047812354,0.1983576630511453,183
"Food Trucks",4.213157894736842,0.5626165622534441,4.2105263157894735,1.195559651747426,0.3362522697497911,0.4853779341159032,19
"Comedy Clubs",3.8666666666666667,0.5553491680129704,3.8095238095238093,1.1799534946060826,0.1465493203946208,0.48217817591767836,21
"Bangladeshi",4.131891025641024,0.59789119519105,3.6346153846153846,1.3377484838029754,0.006754564567538102,0.22153498304022712,104
"Butcher",4.403531073446328,0.7978751551206082,4.4491525423728815,0.9199372764216228,0.06807631535456168,0.061311686228917375,354
"Indian",4.000668299153152,0.6871400822497118,3.6883991429445975,1.2871703729017034,0.0503874012747823,0.032741392456505494,3267
"Gay Bars",3.7404109589041097,0.6346532617261401,4.383561643835616,0.8856564315202528,0.12474336903644838,0.16432135806221237,73
"Botanical Gardens",3.95,1.0264679067736915,4.2727272727272725,1.212878551284212,-0.27382676216044377,0.3788139729729127,11
"Food Delivery Services",3.757460317460316,0.9511729905485676,3.9047619047619047,1.2960781589488763,-0.0591237022073381,0.07688455789595203,315
"Modern European",4.044844444444443,0.5876532848626617,4.216,1.1117601659830536,0.04340542384452122,0.0978646905876884,375
"Soul Food",4.358333333333333,0.3121386800054674,3.8333333333333335,1.3437096247164249,-0.05629416834796008,1.359153785094508,12
"Professional Sports Teams",3.7875,0.790865823006659,4.5625,0.7043392293490403,0.18653356283571093,0.23384327522466714,16
"Libraries",4.108974358974359,0.6531846830045609,4.435897435897436,1.1046491912070777,0.25399507226042295,0.2689095883175906,39
"Sandwiches",3.8615464529533967,0.7063604185936572,4.397150489759572,0.9828769452745842,0.02310872482089191,0.041548370547792944,1123
"Arts & Crafts",4.2683333333333335,0.8074118458933389,4.4,0.8406346808612327,-0.13849223807527605,0.19486229131286428,30
"Party & Event Planning",4.296666666666666,0.7435201558950653,4.6,0.6110100926607787,0.11446223282216998,0.22642281396146793,15
"Champagne Bars",3.894000000000001,0.536902225735748,4.68,0.6144916598294886,-0.2422391188481591,0.23153975094813772,25
"Belgian",3.8005555555555555,0.40778269751800617,4.466666666666667,0.92135166407235,0.06289305567597185,0.42614458805419164,30
"Newspapers & Magazines",3.8139931740614332,1.0075442858792927,4.225255972696246,0.9548387741648469,0.03840822913013899,0.05551352912603,293
"Coffee & Tea",3.9278116673678327,0.7598166051513011,4.335506941522928,1.0156398378569527,0.0062212666966816954,0.01939029098009066,4754
"Breakfast & Brunch",3.981026785714285,0.6418224241050735,4.203125,1.0871773176852457,0.011921066921567202,0.056648168821417155,896
"Middle Schools & High Schools",4.104054054054054,0.9531865744579117,4.783783783783784,0.7027027027027026,0.19297345752516248,0.12226973892020064,37
