"key","hygiene_avg","len(hygiene)","ratings_avg","len(ratings)"
"Home & Garden",4.636363636363637,110,3.9895454545454534,110
"Community Service/Non-Profit",4.6875,96,4.263020833333335,96
"Italian",4.288103382744204,2631,3.8379830229317125,2631
"Used, Vintage & Consignment",4.0,12,4.6125,12
"Public Transportation",4.181818181818182,11,3.472727272727272,11
"Bed & Breakfast",4.523297491039426,558,4.166666666666663,558
"Antiques",4.230769230769231,13,3.9961538461538457,13
"Kosher",3.9047619047619047,21,3.457142857142857,21
"Playgrounds",4.363636363636363,22,4.0613636363636365,22
"Cuban",4.0,14,3.9035714285714285,14
"Caterers",4.158227848101266,158,4.217194092827007,158
"Tours",4.846153846153846,13,4.1230769230769235,13
"Bagels",4.166666666666667,48,3.8711805555555547,48
"Mediterranean",4.1103896103896105,462,4.089790764790766,462
"Cultural Center",4.757575757575758,33,4.33030303030303,33
"Korean",3.328767123287671,73,3.9365296803652963,73
"Health Markets",4.487562189054726,201,4.068739635157545,201
"Drugstores",4.85042735042735,234,3.754059829059828,234
"Furniture Stores",4.456521739130435,46,3.8923913043478255,46
"Patisserie/Cake Shop",4.24031007751938,258,4.033720930232557,258
"Local Flavor",4.304878048780488,82,4.123170731707317,82
"Music Venues",4.285393258426966,445,3.9599625468164796,445
"Burgers",4.433679354094579,867,3.5849288735101936,867
"Check Cashing/Pay-day Loans",4.217391304347826,23,3.641304347826087,23
"Pet Stores",4.5,16,4.021875,16
"Greek",4.155555555555556,225,4.059037037037038,225
"Juice Bars & Smoothies",4.24822695035461,141,3.9699763593380615,141
"Diners",4.361344537815126,119,3.8478991596638656,119
"Delicatessen",4.178217821782178,303,4.2586908690869105,303
"Day Spas",4.689655172413793,29,3.981034482758621,29
"Fashion",4.869565217391305,46,3.860869565217391,46
"Chinese",3.6217506631299736,1885,3.8236251105216605,1885
"Men's Clothing",4.7,30,3.8766666666666665,30
"Ethiopian",3.793103448275862,29,4.3293103448275865,29
"Bowling",4.417582417582418,91,3.790659340659341,91
"American (New)",4.285714285714286,182,3.7295787545787564,182
"Persian/Iranian",3.189189189189189,74,4.077702702702703,74
"Taxis",3.8461538461538463,13,3.842307692307692,13
"Pool Halls",4.375,56,3.6366071428571436,56
"Food",4.173134328358209,335,3.983383084577113,335
"Sporting Goods",4.5,12,3.7083333333333335,12
"Castles",4.7272727272727275,11,4.290909090909091,11
"Meat Shops",4.4401805869074495,443,4.362942061700528,443
"Public Services & Government",4.583333333333333,12,3.7750000000000004,12
"Cheese Shops",4.542857142857143,70,4.482142857142857,70
"Department Stores",4.851015801354402,443,3.8282167042889395,443
"Casinos",4.523809523809524,21,3.8500000000000005,21
"Arabian",3.7333333333333334,15,4.317777777777779,15
"Pubs",4.2869539420010385,13483,3.7792306361096792,13483
"Pakistani",3.6790310370931114,1321,3.9612667171334865,1321
"Street Vendors",3.7777777777777777,36,4.172685185185185,36
"Chicken Shop",4.268656716417911,67,3.776119402985074,67
