"key","ratings_avg","ratings_std","hygiene_avg","hygiene_std","r_value","std_err","len(val)"
"Stafford",3.761538461538462,1.0145392751532107,4.326923076923077,1.1638985193364624,-0.061009615132962006,0.11337998572352144,104
"Welwyn Hatfield",3.7521052631578953,0.9852308249305599,3.8421052631578947,1.2592043392027508,-0.0031259831378663717,0.13253013007969378,95
"Cheshire East",3.9168765743073046,0.878223715283297,4.287153652392947,1.0078588967390378,-0.05186168522366635,0.05766485336546489,397
"Castle Point",3.952352941176469,0.6566808644885788,4.294117647058823,1.1562976353228813,0.09902341161415373,0.19232531618368254,85
"Dudley",3.9666984732824395,0.598552377071342,3.9618320610687023,1.2100380421290766,-0.033681391874318296,0.08843315782041429,524
"Braintree",4.039795918367346,0.9329555620712419,4.6020408163265305,0.6960500204633921,0.042458477858490246,0.07607677016885722,98
"Bristol",3.9751266114180495,0.5825975227138468,4.42196132596685,1.0072875445469118,-0.036660660718735354,0.0454368944859887,1448
"Bromsgrove",4.0605316973415135,0.5251998582654682,4.429447852760736,0.82126137573897,-0.0014776148608085747,0.12323764366958197,163
"Broxbourne",3.8084905660377353,0.9422842503202347,4.433962264150943,1.0552552040837406,-0.10427369421257382,0.1559611791515945,53
"Mid Sussex",3.9332116788321163,0.6738135659182217,4.562043795620438,0.8742990006899762,-0.07102456070954152,0.0784761359171389,274
"South Northamptonshire",4.048175182481752,0.6468736933517348,4.255474452554744,1.0038553206621863,-0.17070096282901112,0.1316022514981426,137
"Redcar and Cleveland",3.989999999999999,0.7297906853642656,4.294444444444444,1.1239672900648854,-0.006231080095293602,0.11543484500675784,180
"North Somerset",3.949189189189189,0.8741092095118302,4.264864864864865,1.055286874335079,0.023672512235697118,0.08921904594255782,185
"South Staffordshire",3.8909340659340677,0.7740202641268977,4.3076923076923075,1.029160627712281,0.07282191892840102,0.09884164778905384,182
"Blackpool",4.086180124223605,0.6146872473052524,4.220496894409938,1.0896815884817315,0.12023007395411597,0.06945700711844613,644
"Uttlesford",3.856521739130435,1.0224265341056797,4.246376811594203,1.0822118668170708,-0.012585513600568239,0.1293029343952202,69
"Manchester",3.8821032186459505,0.5910252320846041,4.126526082130965,1.3211235366737057,0.0006612966748500344,0.05268670758260291,1802
"Three Rivers",3.925,0.9169084762647546,3.6346153846153846,1.1771681494463762,-0.11447358868206017,0.18036952559829614,52
"Shropshire",4.08269040553907,0.6625892237949687,4.55786350148368,0.7570081312278023,0.012842781344219036,0.044069256241024014,674
"Boston",4.241203703703704,0.5304971769963507,4.7592592592592595,0.5421215247520166,-0.029900172491037526,0.09921250620008902,108
"Sunderland",3.9991803278688502,0.7694468847590887,4.202185792349726,0.9248220200448795,0.15266365132660895,0.0622598459573171,366
