key,ratings_avg,ratings_std,hygiene_avg,hygiene_std,r_value,std_err,len(val),avg_price,stddev_price,top_categories,slope,intercept
Spelthorne,3.7632911392,0.9854867351,4.0126582278,1.2064559552,-0.3914038001,0.1283827093,79,2.6953125,[ 0.98548674  1.20645596],"Pubs,Fast Food,Hotels,Indian,Cafes",-0.4791657043,5.8158982769
Adur,3.7391304348,0.8497599646,4.2608695652,0.957838356,-0.3615359292,0.1283929984,69,2.5,[ 0.84975996  0.95783836],"Pubs,Indian,Fast Food,Coffee & Tea,British",-0.407518587,5.7846347167
Selby,4.1153846154,0.800332771,4.0961538462,1.0608344934,-0.3301750753,0.1769404327,52,2.7884615385,[ 0.80033277  1.06083449],"Pubs,Grocery,Hotels,Indian,Pakistani",-0.4376443418,5.8972286374
Mid Ulster,3.7589285714,0.9589385474,4.5892857143,0.7014471193,-0.2268402803,0.0969473411,56,1.9117647059,[ 0.95893855  0.70144712],"Fast Food,Pubs,Hotels,Cafes,Grocery",-0.1659297789,5.2130039012
North Kesteven,3.7463768116,1.1566543094,4.5942028986,0.7085163224,-0.2140103878,0.0731018693,69,2.7403846154,[ 1.15665431  0.70851632],"Pubs,Fast Food,Fish & Chips,Cafes,British",-0.1310934924,5.0853285187
Wychavon,4.1116352201,0.6021501037,4.2955974843,0.8508483308,-0.1988275964,0.1105195012,159,2.4632352941,[ 0.6021501   0.85084833],"Pubs,British,Hotels,Restaurants,Indian",-0.2809467731,5.4507481314
Aylesbury Vale,3.8373529412,0.9569415399,4.2352941176,1.0643645862,-0.1922838304,0.0842111472,170,2.7256944444,[ 0.95694154  1.06436459],"Pubs,Indian,British,Restaurants,Pakistani",-0.213868968,5.0559848312
Rochdale,3.2444444444,1.2356834466,4.1527777778,1.1200163965,-0.1795226543,0.0748271872,144,2.1759259259,[ 1.23568345  1.1200164 ],"Pubs,Fast Food,Coffee & Tea,Indian,Fish & Chips",-0.1627183053,4.6807082794
South Northamptonshire,4.0481751825,0.6468736934,4.2554744526,1.0038553207,-0.1707009628,0.1316022515,137,2.9464285714,[ 0.64687369  1.00385532],"Pubs,Hotels,Indian,Restaurants,Pakistani",-0.2649034449,5.3278500039
Croydon,3.8449152542,0.8428677967,3.6581920904,1.3166054226,-0.1662632475,0.0820989523,354,2.3571428571,[ 0.8428678   1.31660542],"Fast Food,Pubs,Indian,Coffee & Tea,Italian",-0.2597122515,4.6567636881
Fermanagh and Omagh,4.15,0.630174234,4.5108695652,0.6509953118,0.1867939416,0.106975402,92,2.4456521739,[ 0.63017423  0.65099531],"Pubs,Hotels,Pizza,Fast Food,Restaurants",0.1929656494,3.7100621203
Breckland,4.1524096386,0.5921374197,4.2951807229,1.1315203137,0.1953913357,0.1463407675,166,2.578125,[ 0.59213742  1.13152031],"Pubs,Hotels,Fast Food,Indian,Cafes",0.3733749264,2.7447750798
Halton,3.9647928994,0.5673462451,4.349112426,1.0216657904,0.2049556116,0.13639035,169,2.6041666667,[ 0.56734625  1.02166579],"Pubs,Fish & Chips,Fast Food,Hotels,Discount Store",0.3690799732,2.8857867689
East Northamptonshire,4.2327586207,0.8964273786,4.6034482759,0.6679782975,0.2117315533,0.0973180743,58,2.3913043478,[ 0.89642738  0.6679783 ],"Pubs,British,Fast Food,Indian,Cafes",0.157773051,3.9356330343
Allerdale,4.1936320755,0.5780942312,4.2452830189,0.9982184201,0.2119636557,0.116448854,212,2.6838235294,[ 0.57809423  0.99821842],"Hotels,Pubs,Cafes,Coffee & Tea,Fast Food",0.3660061182,2.7103880218
Rossendale,4.2868589744,0.4331463667,4.6153846154,0.812258157,0.2124723853,0.1814379555,104,2.2222222222,[ 0.43314637  0.81225816],"Pubs,Fast Food,Restaurants,Indian,Cafes",0.3984390528,2.9073325861
Corby,4.0212765957,0.6879853939,4.4787234043,0.9863830705,0.2146504262,0.1459921948,94,2.2916666667,[ 0.68798539  0.98638307],"Pubs,Indian,Pakistani,British,Coffee & Tea",0.3077500604,3.2411752891
Mid and East Antrim,4.1428104575,0.7316026436,4.477124183,0.7676887247,0.2307053987,0.0830892459,153,2.2453703704,[ 0.73160264  0.76768872],"Pubs,Fast Food,Coffee & Tea,Hotels,Fish & Chips",0.2420848734,3.474212438
Stroud,4.0982758621,0.8816927383,4.3448275862,0.9805884488,0.3782555419,0.1116685511,87,2.6470588235,[ 0.88169274  0.98058845],"Pubs,Fast Food,Indian,British,Hotels",0.4206828512,2.6207532115
Isles of Scilly,4.4175,0.3678569695,3.55,1.59608897,0.4179210319,0.9290922363,20,2.65625,[ 0.36785697  1.59608897],"Pubs,Cafes,Restaurants,Mediterranean,British",1.8133111635,-4.4603020646
